	id	leg_term	desc	pos_tag	term_root
486	17688770456615435	эрэл	тодорхой нутаг дэвсгэрт газрын тос, уламжлалт бус газрын тосны хэтийн төлөвийг тогтоох зорилгоор гүйцэтгэх геологи, геохими, геофизикийн тойм судалгааны ажлыг	NM	эрэл
244	17688770453584515	багш	боловсролын тухай хуулийн 44 дүгээр зүйлд заасан эрх эдэлж, үүрэг хүлээж байгаа этгээдийг	NM	багш
148	17688770452167438	аюул	амьтан, ургамал, тэдгээрийн гаралтай түүхий эд, бүтээгдэхүүнээс хүн ам, амьтан, ургамлын эрүүл мэндэд сөрөг нөлөө үзүүлж болох ямар нэгэн эмгэг төрүүлэгч зүйлийг	NM	аюул
619	17688770457794704	овог	нэг өвөг дээдсээс гаралтай эцгийн талын холбоо бүхий бүлэг хүмүүсийн дунд үе уламжлан хэрэглэгддэг нэрийг	NM	овог
1102	17688770473977425	нэгж	аймаг, сум, баг, нийслэл, дүүрэг, хороог	NM	нэгж
41	17688770451004975	ачаа	автотээврийн хэрэгслээр тээвэрлэж буй эд зүйлсийг	NM	ачаа
262	17688770454045382	банк	банкны тухай хуулийн 311-д заасан хуулийн этгээдийг болон мөн хуульд заасны дагуу монголбанкнаас зөвшөөрөл авч, монгол улсын нутаг дэвсгэрт үйл ажиллагаа явуулж байгаа гадаадын хөрөнгө оруулалттай банк, банкны салбарыг	NM	банк
449	17688770456277950	уригч	гадаадын иргэнийг монгол улсад оршин суухад шаардагдах хөрөнгийн эх үүсвэрийн баталгааг гаргаж түүнийг урьсан монгол улсын иргэн, аж ахуйн нэгж, байгууллага болон тус улсад хууль ёсоор 90 хоногоос дээш хугацаагаар оршин суугаа гадаадын иргэнийг	NM	уригч
500	17688770456611910	нээлт	хайгуулын цооногоор тогтоосон газрын тосны хуримтлалыг	NM	нээлт
513	17688770456748107	газар	газрын гадаргуу, түүний хөрс, ой, ус, ургамал бүхий орон зайн давхаргыг	NM	газар
250	17688770453759773	төсөл	шинээр байгуулах болон ажиллаж байгаа үйлдвэр, үйлчилгээ, уул уурхай, барилга байгууламж, тэдгээрийг шинэчлэх, өргөтгөх зэрэг аливаа үйл ажиллагааг	NM	төсөл
910	17688770462964020	нисэх	агаарын хөлөг болон түүнд хамаарах бүтээгдэхүүнийг зохион бүтээх, үйлдвэрлэх, тэдгээрээр үйл ажиллагаа эрхлэх цогцолбор ойлголт	NM	нисэх
1090	17688770473471223	эвсэл	монгол улсын үндсэн хуулийн гучин нэгдүгээр зүйлийн 2 дахь хэсэгт заасны дагуу монгол улсын ерөнхийлөгчийн сонгуульд хамтран оролцож байгаа улсын их хуралд суудал бүхий намыг	NM	эвсэл
373	17688770454751268	спорт	хүний оюун ухааны болон бие бялдрын хөгжлийг дэмжсэн идэвхтэй үйлдлийг	NM	спорт
175	17688770452668626	архив	архивын баримтыг энэ хуульд заасан журмын дагуу хүлээн авах, бүрдүүлэх, бүртгэх, хадгалах, хамгаалах, хяналт тавих, ашиглуулах үүрэг бүхий байгууллага болон байгууллагын зохион байгуулалтын нэгжийг	NM	архив
168	17688770452319453	анчин	аймаг, нийслэлийн байгаль орчны асуудал эрхэлсэн төрийн захиргааны байгууллагаас олгосон анчны үнэмлэхтэй иргэнийг	NM	анчин
673	17688770459061871	ахмад	далай ашиглах үйл ажиллагааг аюулгүй хэрэгжүүлэхийн тулд хөлөг онгоц, багийн бүрэлдэхүүнийг хөлөг онгоцны өмчлөгч, эзэмшигчийн өмнө хариуцан удирдаж байгаа этгээдийг	NM	ахмад
671	17688770459065919	боомт	хөлөг онгоц зогсоход зориулагдсан, тусгай тоног төхөөрөмжөөр тоноглогдсон далайн эргийн зогсоол бүхий байгууламжийг	NM	боомт
429	17688770455845386	бараа	гаалийн хилээр нэвтрүүлэх ачаа, тээш, эд юмс, валют, валютын үнэт зүйл, улс хоорондын шуудангийн илгээмж, бүх төрлийн эрчим хүч, мал, амьтан, ургамал зэрэг хөдлөх эд хөрөнгө болон энэ хуулийн 315-д зааснаас бусад тээврийн хэрэгслийг	NM	бараа
313	17688770454476035	шүүлт	тухайн барааны тэмдэг, газар зүйн заалт энэ хуулийн 5, 20 дугаар зүйлд заасан шаардлага хангасан эсэхийг тогтоож, дүгнэлт гаргах оюуны өмчийн асуудал эрхэлсэн төрийн захиргааны байгууллагын үйл ажиллагааг	NM	шүүлт
702	17688770459332930	сорьц	оношилгоо, эмчилгээ, судалгаа болон урьдчилан сэргийлэх, хяналт хийх зорилгоор хүнээс авсан цус, эс, эд, эрхтний хэсгийг	NM	сорьц
103	17688770451382389	групп	татварын ерөнхий хуулийн 618-д заасныг	NM	групп
904	17688770462969499	нислэг	агаараас хүнд агаарын хөлгийн хувьд хөөрөх зорилгоор зогсоолоос хөдлөхөөс эхлэн газарт эргэн бууж хөдөлгөөнөө бүрэн зогсоох хүртэлх агаараас хөнгөн агаарын хөлгийн хувьд газрын гадаргуугаас хөөрөхөөс эхлэн газардах хүртэлх үйл ажиллагаа	NM	нислэг
0	17688770450693270	авлига	энэ хуулийн 41-д заасан этгээд албан тушаалын эрх мэдлээ хувийн ашиг хонжоо олоход урвуулан ашиглах, бусдад давуу байдал олгох, иргэн, хуулийн этгээдээс тэрхүү хууль бус давуу байдлыг олж авах үйлдэл, эс үйлдэхүйгээр илрэх аливаа эрх зүйн зөрчлийг	NM	авлига
800	17688770462566116	бүтээл	шинжлэх ухаан, утга зохиол, урлагийн салбар дахь зохиогчийн оюуны бүтээлч үйл ажиллагааны бодит үр дүнг	NM	бүтээл
736	17688770459963186	жолооч	автотээврийн хэрэгсэл болон мотоциклийг жолоодож яваа хүнийг	NM	жолооч
145	17688770452162999	эрсдэл	хилээр нэвтрүүлэх амьтан, ургамал, тэдгээрийн гаралтай түүхий эд, бүтээгдэхүүнээс тодорхой хугацааны туршид амьтан, ургамал, хүн амын эрүүл мэндэд ямар нэгэн сөрөг нөлөө учруулж болох үр дагаварын хэмжээ өндөрсөх магадлалыг	NM	эрсдэл
653	17688770458858986	дайсан	монгол улсын тусгаар тогтнол, бүрэн эрхт байдал, нутаг дэвсгэрийн бүрэн бүтэн байдалд аюул занал учруулж, зэвсэглэн халдсан улс,түүний энэхүү зэвсэгт халдлагад холбоотон нь болж буй этгээдийг хэлнэ	NM	дайсан
546	17688770457235593	гамшиг	аюулт үзэгдэл, ослын улмаас олон хүний амь нас, эрүүл мэнд хохирох, мал, амьтан олноор хорогдох, эд хөрөнгө, музейн үзмэр, цуглуулга, түүх, соёлын дурсгалт зүйл, хүрээлэн байгаа орчинд улс болон орон нутгийн эдийн засаг, нийгмийн дотоод нөөц, боломжоос давсан хохирол учрахыг	NM	гамшиг
150	17688770452304384	амьтан	байгаль орчныг хамгаалах тухай хуулийн 3 дугаар зүйлийн 2 дахь хэсгийн 4 дэх заалтад заасныг	NM	амьтан
183	17688770452667430	гамшиг	гамшгаас хамгаалах тухай хуулийн 411-д заасныг	NM	гамшиг
1050	17688770465219677	малчин	мал, амьтны эрүүл мэндийн тухай хуулийн 4114-д заасныг	NM	малчин
761	17688770460104387	жолооч	тээврийн хэрэгсэл жолоодож яваа хүн, жолоодлогын дадлага хийлгэж яваа багш, замаар ердийн хөсөг унаж, хөтөлж яваа хүнийг	NM	жолооч
872	17688770462801682	роялти	оюуны өмчийг лицензийн гэрээгээр ашиглан олсон ашгаас лиценз түрээслүүлэгчид ногдох хувь хэмжээг	NM	роялти
457	17688770456277888	цагаач	монгол улсын эрх бүхий байгууллагаас цагаачлан оршин суух зөвшөөрөл авсан гадаадын иргэн, харьяалалгүй хүнийг	NM	цагаач
1136	17688770475643254	зөвлөл	монгол улсын их хурлын тухай хуулийн 143-т заасан улсын их хурлын даргын дэргэд ажиллах зөвлөлийг	NM	зөвлөл
1034	17688770465083297	малчин	хөдөлмөр эрхлэлтийг дэмжих тухай хуулийн 319-д заасан иргэнийг	NM	малчин
787	17688770460995467	гомдол	хуульд тусгайлан зааснаар эрх бүхий этгээдийн шийдвэрийг хянуулахаар захиргааны хэргийн шүүхэд гаргасан өргөдөл, шүүгчийн захирамж, тогтоол, анхан, давж заалдах шатны шүүхийн шийдвэр, магадлалыг хянуулахаар гаргасан өргөдөл, зөрчил шалган шийдвэрлэх тухай хуульд заасны дагуу гаргасан прокурорын дүгнэлтийг	NM	гомдол
719	17688770459803720	жендэр	улс төр, эрх зүй, эдийн засаг, нийгэм, соёлын ба гэр бүлийн харилцаанд эрэгтэй, эмэгтэй хүний гүйцэтгэх үүрэг, хүлээх хариуцлага, тэдний нийгэмд эзлэх байр суурийн талаар уламжлагдан тогтсон, түүхэн явцад хувьсан өөрчлөгддөг ойлголт, үзэл, хандлагыг	NM	жендэр
1063	17688770465301668	малчин	хөдөлмөр эрхлэлтийг дэмжих тухай хуулийн 319-д заасныг	NM	малчин
384	17688770454766270	допинг	спортын үйл ажиллагаанд хэрэглэхийг хориглосон бодис, хориотой аргыг	NM	допинг
593	17688770457412326	үүсмэл	генийн үйл ажиллагаа, бодисын солилцооны дүнд уламжлан үүсэх, байгальд тохиолддог биохимийн нэгдлийг	NM	үүсмэл
577	17688770457406094	амьтан	байгаль орчныг хамгаалах тухай хуулийн 3 дугаар зүйлийн 2 дахь хэсгийн 4-т заасныг	NM	амьтан
732	17688770459909020	кластер	аж ахуйн нэгж нь үйлдвэрлэл, үйлчилгээний зорилго, төрөл, чиглэл, газарзүйн байршлын хувьд хорших, төрөлжих хэлбэрээр харилцан уялдаатай хамтран ажиллахыг	NM	кластер
993	17688770464588924	зохиогч	зохиогчийн эрхийн тухай хуулийн 411-д заасан этгээдийг	NM	зохиогч
731	17688770459905309	ажилтан	хөдөлмөрийн тухай хуулийн 312-т заасныг	NM	ажилтан
646	17688770458578204	актуарч	даатгагчийн төлбөрийн чадварын түвшин, санхүүгийн тогтвортой байдлыг хангах зорилгоор учирч болзошгүй эрсдлийг урьдчилан үнэлж, эдийн засаг, математикийн тооцоо, судалгааны үндсэн дээр үйл ажиллагаа явуулдаг этгээдийг	NM	актуарч
130	17688770451675039	сонгогч	сонгогчдын нэрийн жагсаалтад бүртгэгдсэн, тухайн засаг захиргааны нэгжид байнга оршин суугчаар бүртгэгдэн оршин сууж байгаа сонгуулийн эрх бүхий иргэнийг	NM	сонгогч
1003	17688770464887612	концесс	төрийн, эсхүл орон нутгийн өөрийн өмчийн эд хөрөнгийг дэд бүтцийн болон нийгмийн суурь үйлчилгээг нийтэд үзүүлэх зорилгоор энэ хуульд заасан нөхцөл, журмын дагуу гэрээний үндсэн дээр эзэмших, ашиглах, шинээр бий болгох, шинэчлэн сайжруулах онцгой эрхийг	NM	концесс
408	17688770455129159	вексель	төлбөр хариуцагчаас тодорхой хэмжээний мөнгөн хөрөнгийг тогтоосон хугацаанд ямар нэгэн нөхцөл болзолгүйгээр үл маргалдах журмаар вексель эзэмшигчид төлөхийг харилцан тохиролцож баталсан төлбөрийн баримтыг хэлнэ вексель нь төлбөр тооцооны үнэт цаас мөн	NM	вексель
1086	17688770473475485	сонгогч	сонгогчдын нэрийн жагсаалтад бүртгэгдсэн, сонгуулийн эрх бүхий иргэнийг	NM	сонгогч
594	17688770457468071	геодези	дэлхийн хэлбэр, хэмжээ, түүний гадаргын шилжих хөдөлгөөнийг тодорхойлох, газрын гадаргын хэсгийг зураг болгон буулган дүрслэх зорилгоор од, нар, хиймэл дагуул болон газрын зургийн багаж хэрэгслийн тусламжтайгаар тухайн цэгийн байрлал, өндөр, хүндийн хүчний хурдатгалыг хэмжин тодорхойлж математик боловсруулалт хийх цогцолбор үйл ажиллагааг	NM	геодези
817	17688770462562465	нийтлэх	бүтээл, фонограммын биет хуулбарыг холбогдох эрх эзэмшигчийн зөвшөөрөлтэйгөөр нийтийн хэрэгцээг хангахуйц хэмжээгээр хувилан олшруулж худалдаалах, түрээслүүлэх, нийтэд зээлдүүлэх, эсхүл бусад хэлбэрээр өмчлөх, эзэмших эрхийг шилжүүлэх замаар нийтэд ашиглах боломж олгохыг	NM	нийтлэх
590	17688770457417597	ургамал	байгаль орчныг хамгаалах тухай хуулийн 3 дугаар зүйлийн 2 дахь хэсгийн 3-т заасныг	NM	ургамал
1016	17688770464988684	ажиглах	халдвар дамжих аюулыг тодорхойлох зорилгоор тодорхой хугацааны туршид хүний эрүүл мэндийн байдлыг хянах үйл ажиллагааг	NM	ажиглах
487	17688770456615745	хайгуул	газрын тосны орд нээж, нөөцийн хэмжээг тогтоох зорилгоор гүйцэтгэх геологи, геохими, геофизик, өрөмдлөг, олборлолтын туршилтын ажлыг	NM	хайгуул
488	17688770456619347	үнэлгээ	нээлтийн цооногоор илрүүлсэн хуримтлал нь үр ашигтай нээлт болох эсэхийг тодорхойлох зорилгоор хийх ажлыг	NM	үнэлгээ
192	17688770452791424	партнер	аудитын гэрээт ажлыг гүйцэтгэхтэй холбогдуулан аудитын хуулийн этгээдийн өмнө аудитын дүгнэлтийн талаар хариуцлага хүлээх аудиторыг	NM	партнер
1013	17688770464981013	халдвар	халдварт өвчин үүсгэгч хүн, амьтны биед нэвтрэн орж, өсөж үржихийг	NM	халдвар
191	17688770452794183	аудитор	аудитын үйл ажиллагаа эрхэлж байгаа этгээд, эсхүл аудитын багийн ахлагч, бусад гишүүнийг	NM	аудитор
609	17688770457795950	гэр бүл	гэрлэлтийн үр дүнд буй болсон, эд хөрөнгийн бус амины болон эд хөрөнгийн эрх, үүргээр холбогдсон хамтын амьдрал бүхий гэр бүлийн гишүүдийг	NM	бүл
473	17688770456547442	агуулах	газрын тос болон газрын тосны бүтээгдэхүүнийг хүлээн авах, хадгалах, савлах, бөөний худалдаа эрхлэхэд зориулсан байгууламж, тоног төхөөрөмж, техник хэрэгслийн цогцолборыг	NM	агуулах
798	17688770462561881	зохиогч	өөрийн оюуны бүтээлч үйл ажиллагаагаар шинжлэх ухаан, утга зохиол, урлагийн бүтээл туурвисан хувь хүнийг	NM	зохиогч
518	17688770456752947	бэлчээр	мал, амьтан бэлчээх зориулалттай байгалийн болон таримал ургамлын нөмрөг бүхий хөдөө аж ахуйн газарт хамааруулсан газрыг	NM	бэлчээр
953	17688770464466807	кадастр	газар болон бусад үл хөдлөх эд хөрөнгийн байршил, хил зааг, талбай, эзлэхүүн, тоо хэмжээ, төлөв байдлыг тогтоох, чанарын болон эдийн засгийн үнэлгээ хийх, төлбөр ногдуулах үндэслэлийг бий болгох, тэдгээрийн эзэмшил, ашиглалт, өмчлөлийн эрхийг баталгаажуулах цогц үйл ажиллагааг	NM	кадастр
607	17688770457799502	гэрлэлт	хуулиар тогтоосон насанд хүрсэн эрэгтэй, эмэгтэй хоёр, сайн дурын, чөлөөтэй, тэгш эрхийн үндсэн дээр гэр бүл болох зорилгоор хуульд заасны дагуу төрийн эрх бүхий байгууллагад бүртгүүлэхийг	NM	гэрлэлт
458	17688770456273026	паспорт	олон улсын эрх бүхий байгууллага, түүнчлэн гадаад улсын болон монгол улсын засгийн газраас олгосон буюу хүлээн зөвшөөрсөн олон улсад зорчих баримт бичгийг	NM	паспорт
40	17688770451002122	зорчигч	автотээврийн хэрэгслээр зорчихдоо энэ хуулийн 3111-д заасан нийтийн тээврийн хэрэгслээр зорчих пайз, тасалбар авсан зорчигчийг	NM	зорчигч
679	17688770459075494	далайчин	хөлөг онгоцны аюулгүй ажиллагааг хангах, далайн орчныг бохирдуулахаас урьдчилан сэргийлэх, хамгаалах зорилгоор хөлөг онгоцны багийн бүрэлдэхүүнд хөдөлмөрийн гэрээгээр ажиллаж байгаа этгээдийг	NM	далайчин
740	17688770459966374	даатгагч	даатгуулагчтай даатгалын гэрээ байгуулж, уг гэрээнд заасан нөхцөл, хэмжээгээр хохирогчид нөхөн төлбөр олгох үүрэг хүлээсэн, жолоочийн даатгалын үйл ажиллагаа эрхлэх зөвшөөрөлтэй хуулийн этгээдийг	NM	даатгагч
396	17688770454847459	төлөвшил	суралцагчийн хүмүүжил, итгэл үнэмшлийн цогцыг	NM	төлөвшил
378	17688770454765432	тамирчин	спортын сургалт-дасгалжуулалтаар бэлтгэгдэн, спортын тэмцээнд оролцдог этгээдийг	NM	тамирчин
855	17688770462747949	зээлдэгч	хууль, гэрээгээр төр, аж ахуйн нэгж, байгууллага, иргэн, хуулийн этгээдийн өмнө зээл, төлбөрийн үүрэг хүлээсэн иргэн, хуулийн этгээдийг	NM	зээлдэгч
892	17688770462958609	аэродром	агаарын хөлгийг байрлуулах, хөөргөх, буулгах, явгалахад зориулж тусгайлан тоноглосон газар болон усан гадаргуу	NM	аэродром
495	17688770456615311	ашиглалт	газрын тос, уламжлалт бус газрын тосны орд ашиглалтын бүтээн байгуулалт, олборлолтын үйл ажиллагааг	NM	ашиглалт
699	17688770459338397	тээгч эх	бусдын үр хөврөлийг тээж, хүүхэд төрүүлэх эмэгтэйг	NM	эх
207	17688770452794303	институт	нягтлан бодох бүртгэлийн тухай хуулийн 3113-т заасан байгууллагыг	NM	институт
695	17688770459335671	хүйн цус	нярайн хүй таслагдсаны дараа ихсийн хүйн судсанд байгаа цусыг	NM	цус
640	17688770458576990	даатгагч	энэ хуулийн дагуу даатгалын үйл ажиллагаа эрхлэх тусгай зөвшөөрөл авсан компанийг	NM	даатгагч
696	17688770459338973	үүдэл эс	хүйн цус, захын цус, ясны хэмээс гаргаж авсан эсийн бүрдлийг	NM	эс
782	17688770460992603	магадлал	захиргааны хэргийн давж заалдах шатны шүүхээс захиргааны хэргийг хянан шийдвэрлэж гаргасан шийдвэрийг	NM	магадлал
9	17688770450868213	авто зам	тээврийн хэрэгсэл зорчиход зориулан барьсан замын байгууламж бүхий хатуу, хайрган хучилттай зам, гудамж, засаж, сайжруулсан болон ердийн хөрсөн замыг	NM	зам
796	17688770461482511	оролцогч	зөрчилд холбогдогч, хохирогч, тэдгээрийн хууль ёсны төлөөлөгч, өмгөөлөгчийг	NM	оролцогч
120	17688770451484556	зуучлагч	зуучлах үйлчилгээ эрхлэх тусгай зөвшөөрөлтэй, ашгийн төлөө хуулийн этгээдийг	NM	зуучлагч
140	17688770452114358	нэмэгдэл	энэ хуулийн 4 дүгээр зүйлд заасан ахмад настанд нийгмийн даатгал, нийгмийн халамжийн сангаас олгож байгаа тэтгэвэр, тэтгэмжээс гадна төрөөс сар бүр олгох мөнгөн хөрөнгийг	NM	нэмэгдэл
748	17688770459965934	хохирогч	даатгалын тохиолдлын улмаас эрүүл мэнд, эд хөрөнгөд нь хохирол учирсан этгээд, эсхүл даатгалын тохиолдлын улмаас хүний амь нас хохирсон тохиолдолд гэм хор учруулсны төлбөрийг шаардах эрх бүхий этгээдийг	NM	хохирогч
311	17688770454476902	мэдүүлэг	барааны тэмдэг, газар зүйн заалтыг бүртгүүлэхийг хүссэн иргэн, хуулийн этгээдээс оюуны өмчийн асуудал эрхэлсэн төрийн захиргааны байгууллагад гаргаж байгаа өргөдөл, хуульд заасан бусад баримт бичгийг	NM	мэдүүлэг
362	17688770454609746	төвөгшил	барилга байгууламжийн бүтээц, технологи, эзлэхүүн төлөвлөлт, инженерийн шийдэл, хийцийн төрлөөс хамаарч зураг төсөл боловсруулах, барилгын ажил гүйцэтгэх төлөв байдлыг	NM	төвөгшил
393	17688770454841011	багц цаг	дээд болон мэргэжлийн боловсролын агуулгын багтаамжийг хэмжих нэгжийг	NM	цаг
863	17688770462809096	инноваци	шинэ мэдлэгийг баялаг болгон хувиргах үйл ажиллагааны үр дүнд бий болсон бүтээгдэхүүн, үйлчилгээ, маркетинг, зохион байгуулалтын арга, шийдлийг	NM	инноваци
667	17688770458962424	дайчилгаа	улс орны эдийн засаг, нийгмийг шаардлагатай үед дайны байдалд шилжүүлэх, зэвсэгт хүчнийг өргөтгөн зохион байгуулахын тулд дайчилгааны бэлтгэл нөөцийн бүрэлдэхүүн, дайчилгааны болон санхүүгийн нөөцийг дахин хуваарилах зорилгоор төрөөс хэрэгжүүлж байгаа цогц арга хэмжээг	NM	дайчилгаа
952	17688770464355473	суурь жил	2017 оныг	NM	жил
812	17688770462568016	фонограмм	кино урлагийн, эсхүл бусад дуу авиа бүхий дүрст бүтээлд оруулсан дуу авиа бүхий бичлэгээс бусад тоглолтын болон бусад дуу авиа, эсхүл тэдгээрийн илэрхийллийн бичлэгийг	NM	фонограмм
170	17688770452321811	ан агнуур	ангийн гаралтай түүхий эдийг ашиглах зорилгоор хуулиар заасан хугацаа, арга, хэрэгсэл, зөвшөөрлийн дагуу агнуурын амьтныг агнах, барих үйл ажиллагааг	NM	агнуур
779	17688770460998043	нэхэмжлэл	хүн, хуулийн этгээдээс захиргааны хууль бус үйл ажиллагааны улмаас зөрчигдсөн, эсхүл зөрчигдөж болзошгүй эрх, хууль ёсны ашиг сонирхлоо хамгаалуулахаар, түүнчлэн нийтийн ашиг сонирхлыг төлөөлөх эрх бүхий этгээд, хуульд тусгайлан заасан бол захиргааны байгууллагаас нийтийн эрх зүйн чиг үүргийг хэрэгжүүлэхтэй холбогдон үүссэн маргааныг шийдвэрлүүлэхээр захиргааны хэргийн шүүхэд гаргасан өргөдлийг	NM	нэхэмжлэл
436	17688770455846476	мэдүүлэгч	гаалийн хилээр нэвтрүүлэх бараа, тээврийн хэрэгслийг гаалийн байгууллагад мэдүүлж байгаа аливаа этгээдийг	NM	мэдүүлэгч
1014	17688770464989063	хөл хорио	тодорхой хугацаанд хүн ам, газар нутгийг хамарч халдварт өвчин тархахаас сэргийлэх, халдварыг анх гарсан голомтод нь барих, хяналтад авахад чиглэсэн арга хэмжээг	NM	хорио
784	17688770460997332	шийтгэвэр	захиргааны хэрэг шүүхэд хянан шийдвэрлэх ажиллагааны явцад зөрчил гаргасан этгээдэд хуульд заасны дагуу хариуцлага оногдуулсан шийдвэрийг	NM	шийтгэвэр
791	17688770461232884	зөвшөөрөл	зөвшөөрөл олгох эрх бүхий этгээдээс хуульд заасан хугацаа, нөхцөл, шаардлагын дагуу тодорхой үйл ажиллагааг эрхлүүлэх, эсхүл байгалийн баялаг, төрийн нийтийн өмчийг хязгаартайгаар ашиглуулахаар олгосон эрхийг	NM	зөвшөөрөл
466	17688770456285265	цахим виз	гадаадын иргэнд цахим хэлбэрээр монгол улсын виз олгосныг нотлох цахим болон хэвлэмэл баримтыг	NM	виз
451	17688770456276233	түр ирэгч	монгол улсад 90 хүртэл хоногийн хугацаагаар ирсэн гадаадын иргэнийг	NM	ирэгч
464	17688770456284917	лесе пасе	нүб-ын эрх, дархын тухай конвенцийн 7 дугаар зүйлд заасны дагуу нүб-ын ажилтан, албан тушаалтанд тус байгууллагаас олгосон олон улсад зорчих баримт бичгийг	NM	пасе
928	17688770462979309	нисэх баг	нислэгийн хугацаанд агаарын хөлгийн аюулгүй ажиллагааг хангах хариуцлага хүлээсэн, хүчин төгөлдөр мэргэжлийн үнэмлэхтэй агаарын хөлгийн багийн гишүүд	NM	баг
490	17688770456616647	гэрээлэгч	монгол улсын нутаг дэвсгэрт газрын тос, уламжлалт бус газрын тосны хайгуул, ашиглалтын үйл ажиллагаа эрхлэх гэрээ байгуулсан компанийг	NM	гэрээлэгч
693	17688770459336759	реципиент	амь нас, эрүүл мэндээ хамгаалах зорилгоор донорын эс, эд, эрхтнийг шилжүүлэн суулгуулах, цус, цусан бүтээгдэхүүн сэлбүүлэх зайлшгүй шаардлагатай хүнийг	NM	реципиент
1046	17688770465211584	цөм сүрэг	тухайн үүлдэр, омгоос ашиг шимийн хэмжээ, чанараар давуу хэсгийг сонгон үржүүлж байгаа сүрэг малыг	NM	сүрэг
497	17688770456614758	олборлолт	хүргэлтийн цэг хүртэлх бүтээн байгуулалтаас бусад олборлохтой холбогдсон бүх үйл ажиллагааг	NM	олборлолт
611	17688770457793046	гэрлэгчид	гэрлэлтээр холбогдсон харилцан тэгш эрх эдэлж, адил үүрэг хүлээх нөхөр, эхнэрийг	NM	гэрлэгчид
300	17688770454402759	шилжүүлэг	үндэсний төлбөрийн системийн тухай хуулийн 5118-д заасныг	NM	шилжүүлэг
1012	17688770464988533	тохиолдол	тухайн өвчний батлагдсан болон сэжигтэй, магадлалтай тохиолдол бүрийг	NM	тохиолдол
308	17688770454475818	гэрчилгээ	улсын бүртгэлд бүртгэгдсэн барааны тэмдэг эзэмшигч, газар зүйн заалт хэрэглэгчийн эрхийг гэрчилж, төрөөс олгож байгаа баримт бичгийг	NM	гэрчилгээ
141	17688770452117698	хөнгөлөлт	энэ хуулийн 4 дүгээр зүйлд заасан ахмад настны амьжиргаа, эрүүл мэндийг дэмжих үйлчилгээг	NM	хөнгөлөлт
416	17688770455171995	харилцагч	виртуал хөрөнгийн үйлчилгээ үзүүлэгчээс үйлчилгээ авч байгаа этгээдийг	NM	харилцагч
681	17688770459168372	хариуцагч	тусгай зориулалтын компани, орон сууцны санхүүжилтийн компаниас бусад төлбөрийн чадваргүй болсон нөхөрлөл, хоршоо, компани, төрийн болон орон нутгийн өмчит үйлдвэрийн газар, хуулийн этгээдийн эрх бүхий төрийн бус байгууллагыг	NM	хариуцагч
